Unnamed: 0,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
15086,116,30,95,6,55000,0,4,0,18.19,1197,103.2,5,599000
15088,37,8,96,1,7066,0,4,0,18.15,998,118.35,5,1185000
15091,79,18,100,9,60000,1,4,1,18.9,998,67.1,5,300000
15092,30,7,99,3,18823,2,4,1,17.5,1199,88.7,5,840000
15095,34,8,54,7,12000,0,4,1,18.9,1197,82.0,5,465000
15097,29,7,61,5,39540,0,4,1,18.7,1199,88.7,5,562000
15098,67,18,23,6,51127,0,4,0,23.1,998,67.04,5,475000
15099,115,30,73,5,32967,0,4,1,16.2,1199,74.0,5,675000
15100,96,25,32,2,19444,0,4,0,13.9,1498,105.0,5,1140000
15101,22,6,44,6,60217,0,1,1,25.83,1498,99.0,5,540000
15103,104,28,56,2,15000,1,1,1,17.0,1956,138.1,5,1750000
15104,79,18,100,13,67000,0,4,1,14.0,1061,64.0,5,145000
15105,84,21,16,8,72000,0,1,0,14.84,2143,167.62,5,1275000
15106,40,8,118,5,60000,0,4,1,18.6,1197,81.83,5,565000
15107,7,1,3,9,36000,0,1,0,17.66,2993,261.49,4,2300000
15108,86,21,36,9,1325000,0,1,0,11.5,2987,210.0,5,1350000
15109,111,29,45,4,44510,0,1,1,14.24,2755,174.5,7,2975000
15110,34,8,54,7,38956,0,4,1,18.9,1197,82.0,5,435000
15111,68,18,24,6,39000,0,4,0,19.12,1373,91.1,5,675000
15112,24,7,10,8,28000,1,4,1,18.0,1198,86.7,5,350000
15115,79,18,100,8,33000,0,4,1,18.9,998,67.1,5,313000
15116,27,7,25,5,48200,0,4,0,18.0,1497,117.3,5,825000
15117,65,18,7,5,40000,1,4,1,22.74,796,47.3,5,265000
15118,113,29,60,12,160000,0,1,1,12.99,2494,100.6,7,560000
15119,84,21,16,6,37000,0,1,0,14.84,2143,170.0,5,2399000
15120,77,18,89,7,93000,1,1,1,23.4,1248,74.0,5,520000
15122,19,6,11,2,5837,0,1,1,25.83,1498,99.0,5,845000
15124,76,18,88,10,83000,0,1,1,22.9,1248,74.0,5,349000
15125,65,18,7,18,90000,1,4,1,19.7,796,46.3,5,75000
15126,40,8,118,10,78000,0,1,1,23.0,1396,90.0,5,325000
15127,22,6,44,5,61304,0,4,1,18.16,1196,86.8,5,340000
15128,77,18,89,2,22000,0,1,1,28.4,1248,74.02,5,925000
15129,65,18,7,3,40000,1,4,1,24.7,796,47.3,5,295000
15130,39,8,117,12,95721,0,4,1,20.36,1197,78.9,5,300000
15132,77,18,89,10,76000,1,1,1,19.3,1248,73.9,5,385000
15133,40,8,118,7,37000,0,4,1,18.5,1197,82.9,5,425000
15134,40,8,118,9,50000,0,4,1,17.0,1197,80.0,5,395000
15135,29,7,61,6,31700,0,4,0,19.0,1199,88.7,5,610000
15136,86,21,36,3,25000,1,1,0,16.1,1950,191.7,5,5000000
15137,61,17,85,4,22500,1,1,1,16.36,2179,140.0,7,1465000
15139,77,18,89,3,30000,1,4,1,21.21,1197,81.8,5,600000
15140,29,7,61,6,63000,0,4,1,18.7,1199,88.7,5,485000
15141,79,18,100,10,12000,0,4,1,21.5,1197,81.8,5,290000
15142,38,8,97,10,66600,0,1,0,19.08,1582,126.2,5,435000
15143,77,18,89,3,28229,0,1,0,28.4,1248,74.02,5,799000
15144,38,8,97,14,34000,0,4,1,13.9,1599,103.2,5,200000
15145,77,18,89,6,68393,0,1,1,26.59,1248,74.0,5,650000
15146,68,18,24,6,42000,0,4,1,20.73,1373,91.1,5,550000
15147,27,7,25,3,43181,0,1,1,25.6,1498,97.9,5,1225000
15148,68,18,24,4,21000,0,4,0,19.12,1373,91.1,5,795000
15149,74,18,59,3,10000,1,4,1,20.89,1197,81.8,5,470000
15150,67,18,23,5,20000,0,4,0,23.1,998,67.04,5,470000
15151,72,18,39,2,4000,1,4,1,15.37,1196,73.0,5,420000
15152,27,7,25,4,74000,0,4,1,16.8,1497,116.3,5,850000
15153,1,0,5,5,45000,0,1,0,17.68,1968,174.33,5,2600000
15154,38,8,97,8,60000,1,1,1,22.32,1582,126.3,5,475000
15156,115,30,73,2,9000,0,4,1,18.78,999,75.0,5,649000
15157,113,29,60,9,180000,1,1,1,12.8,2494,102.0,7,775000
15158,47,12,27,4,42000,0,1,1,17.1,1956,170.0,5,1790000
15159,65,18,7,4,2700,0,4,1,23.95,998,67.05,5,376000
15161,96,25,32,8,90000,1,1,1,19.01,1461,108.45,5,550000
15163,33,8,40,5,27000,0,1,0,19.5,1582,126.24,5,1395000
15164,22,6,44,10,65000,0,1,1,20.0,1399,68.0,5,335000
15165,77,18,89,13,112000,0,1,1,23.4,1248,74.0,5,310000
15166,101,27,77,5,23000,0,1,0,21.66,1498,103.52,5,725000
15167,64,17,114,5,36000,1,1,1,16.0,1997,140.0,7,900000
15168,77,18,89,2,35000,1,1,1,28.4,1248,74.02,5,750000
15169,12,1,116,10,24000,0,4,0,10.37,2979,306.0,2,3300000
15170,67,18,23,2,25202,0,4,0,21.63,998,67.04,5,595000
15171,27,7,25,6,80000,1,1,1,26.0,1498,98.6,5,550000
15172,76,18,88,13,100000,1,1,1,17.8,1248,75.0,5,210000
15173,3,0,74,7,95000,0,1,0,12.07,2967,241.4,7,2250000
15174,0,0,4,6,28000,0,1,0,17.11,1968,174.33,5,1775000
15175,27,7,25,9,57000,0,4,1,16.8,1497,116.4,5,415000
15176,79,18,100,9,68000,0,4,1,21.79,998,67.05,5,265000
15178,64,17,114,5,37000,0,1,1,16.0,2179,140.0,7,995000
15179,100,27,71,3,66850,0,1,0,19.5,1968,141.0,5,2075000
15180,27,7,25,7,68900,0,1,1,25.1,1498,98.6,5,655000
15181,76,18,88,9,78231,0,1,1,22.9,1248,74.0,5,495000
15182,115,30,73,9,91000,0,1,1,22.07,1199,73.9,5,385000
15183,77,18,89,3,30000,1,4,1,21.21,1197,81.8,5,300000
15184,34,8,54,4,33000,0,4,1,18.9,1197,81.86,5,435000
15185,24,7,10,5,53000,1,1,1,25.8,1498,98.6,5,450000
15186,96,25,32,5,62000,1,1,1,19.87,1461,83.8,5,700000
15187,78,18,98,4,45000,0,1,1,24.3,1248,88.5,5,945000
15188,66,18,13,4,20000,1,4,1,21.4,1197,83.1,5,480000
15189,72,18,39,10,93456,0,4,1,15.37,1196,73.0,7,285000
15190,108,28,91,5,31000,0,4,1,23.84,1199,84.0,5,365000
15192,22,6,44,9,151000,1,1,1,20.0,1399,68.0,5,251000
15193,79,18,100,9,68000,0,0,1,26.2,998,58.2,5,315000
15194,19,6,11,4,70000,1,1,1,25.83,1498,99.0,5,500000
15197,6,1,2,2,9000,0,1,0,17.09,2993,261.4,4,6500000
15199,38,8,97,3,30000,0,4,1,17.0,1591,121.3,5,915000
15200,61,17,85,11,93000,0,1,1,10.5,2179,120.0,8,475000
15201,113,29,60,3,29000,0,1,1,13.68,2393,147.8,7,1775000
15203,60,17,68,3,38000,1,1,1,17.3,1497,121.0,8,1100000
15204,67,18,23,2,15230,0,4,1,21.63,998,67.05,5,475000
15206,65,18,7,15,121153,0,4,1,19.7,796,46.3,5,100000
15207,101,27,77,8,40000,1,1,1,20.5,1598,103.5,5,500000
15208,78,18,98,5,50000,0,1,1,24.3,1248,88.5,5,800000
15209,111,29,45,3,96644,0,1,0,15.04,2755,174.5,7,3175000
15210,51,14,79,9,158648,0,1,0,11.49,4367,335.3,5,4000000
15211,97,25,64,2,8500,0,4,0,24.04,999,67.0,5,425000
15212,67,18,23,6,35000,0,4,0,23.1,998,67.04,5,460000
